Source,Target,Weight
greater,part,39
foot,high,38
del,fuego,34
early,morning,34
capt,fitzroy,33
buenos,ayres,32
st,jago,30
good,deal,30
long,walk,28
gale,wind,28
tierra,del,27
rio,negro,25
distance,mile,25
came,anchor,25
never,saw,24
short,time,24
fresh,water,23
took,walk,23
time,year,22
took,long,21
well,known,20
year,ago,20
general,rosa,19
went,shore,19
s.,america,19
tierra,fuego,19
bad,weather,18
greater,number,18
short,distance,18
cocoa,nut,18
last,year,18
whole,country,17
along,coast,17
mile,country,17
old,man,17
heavy,rain,17
mile,distant,16
went,board,16
first,time,16
paid,visit,15
t.,del,15
b.,ayres,15
straight,line,15
made,sail,15
torrent,rain,15
st,fe,15
level,plain,15
survey,coast,15
nothing,could,15
year,since,14
weather,bad,14
t.,fuego,14
within,mile,14
party,men,14
m.,video,14
next,morning,14
young,men,13
looked,like,13
could,see,13
s.,carlos,13
blew,gale,13
captain,determined,13
old,friend,13
height,foot,13
fine,weather,13
last,day,13
blue,sky,13
evening,went,12
port,desire,12
give,idea,12
cattle,horse,12
fine,breeze,12
whole,party,12
year,old,12
woman,child,12
got,weigh,12
never,seen,12
board,beagle,11
cape,horn,11
came,board,11
several,mile,11
country,house,11
point,view,11
wind,light,11
good,luck,11
central,part,11
good,fortune,11
board,ship,11
foot,circumference,11
staid,day,11
fresh,breeze,11
part,island,11
seen,distance,11
took,place,11
forest,tree,11
side,mountain,11
last,time,11
bahia,bianca,11
de,la,10
ponsonby,sound,10
wood,tree,10
plain,valley,10
letter,introduction,10
mountain,side,10
ft,high,10
ship,wind,10
country,level,10
place,found,10
mile,distance,10
tropical,scenery,10
breeze,u,10
night,came,10
town,built,10
volcanic,rock,10
bird,insect,10
west,coast,10
men,u,10
made,good,10
since,leaving,10
hundred,yard,10
walked,mile,10
late,evening,10
long,time,10
salt,water,10
beagle,sail,10
strong,breeze,10
take,place,10
weather,cold,10
punta,alta,10
new,zealand,10
