W1,W2,Weight
greater,part,42
foot,high,38
early,morning,37
distance,mile,35
del,fuego,34
capt,fitzroy,33
ayres,buenos,32
bad,weather,32
deal,good,31
jago,st,30
long,walk,30
gale,wind,30
took,walk,27
del,tierra,27
time,year,26
anchor,came,26
never,saw,25
fresh,water,25
negro,rio,25
short,time,24
long,took,23
distant,mile,22
shore,went,21
country,mile,21
mountain,side,21
known,well,20
general,rosa,20
heavy,rain,20
ago,year,20
country,whole,19
america,s.,19
along,coast,19
fuego,tierra,19
man,old,19
greater,number,19
fine,weather,19
board,went,19
last,year,19
distance,short,18
plain,valley,18
light,wind,18
could,nothing,18
cocoa,nut,18
first,time,17
rain,torrent,17
day,long,17
cattle,horse,17
country,level,16
last,time,16
rain,wind,16
line,straight,16
made,sail,16
men,party,16
old,year,16
level,plain,16
fe,st,16
mile,within,16
country,part,16
found,place,16
blue,sky,15
could,see,15
del,t.,15
coast,survey,15
foot,height,15
paid,visit,15
ayres,b.,15
evening,went,15
long,time,15
boat,sent,15
captain,went,15
forest,tree,15
salt,water,15
since,year,14
ship,wind,14
m.,video,14
men,young,14
beagle,board,14
anchored,night,14
country,house,14
morning,next,14
morning,started,14
fuego,t.,14
high,hill,14
foot,tree,14
circumference,foot,14
island,part,14
day,last,14
captain,ship,14
friend,old,14
mile,town,13
gale,heavy,13
men,u,13
blew,gale,13
indian,tribe,13
house,night,13
captain,determined,13
like,looked,13
carlos,s.,13
fine,view,13
boat,captain,13
foot,mountain,13
country,quite,13
child,woman,13
breeze,fresh,13
line,mile,13
coast,near,13
party,whole,12
breeze,fine,12
central,part,12
arrived,evening,12
breeze,u,12
time,whole,12
fair,wind,12
point,view,12
day,staid,12
body,water,12
give,idea,12
board,ship,12
never,seen,12
ship,shore,12
country,road,12
desire,port,12
men,woman,12
u,wind,12
water,without,12
distance,seen,12
island,year,12
mile,several,12
small,water,12
board,came,12
breeze,strong,12
bird,insect,12
party,went,12
coast,mile,12
clear,sky,12
country,plain,12
got,weigh,12
high,mountain,12
cape,horn,11
flow,water,11
river,water,11
night,slept,11
tree,wood,11
de,la,11
horse,men,11
bahia,bianca,11
place,took,11
course,water,11
foot,hill,11
came,night,11
coast,west,11
built,town,11
hundred,yard,11
boat,shore,11
could,found,11
good,luck,11
hill,side,11
seen,tree,11
fortune,good,11
beagle,sail,11
foot,ground,11
bay,st,11
island,whole,11
rock,volcanic,10
small,vessel,10
long,swell,10
built,house,10
edge,water,10
coast,country,10
ponsonby,sound,10
place,water,10
good,water,10
man,u,10
place,take,10
scenery,tropical,10
several,small,10
black,lava,10
elevation,ft,10
house,passed,10
ft,high,10
came,evening,10
reach,till,10
introduction,letter,10
gave,u,10
side,valley,10
breeze,light,10
sea,time,10
horse,man,10
good,sea,10
distance,league,10
several,time,10
could,indian,10
plain,sterile,10
sea,water,10
good,made,10
good,u,10
mile,river,10
anchor,let,10
evening,late,10
green,turf,10
distance,water,10
opposite,side,10
present,time,10
country,cultivated,10
place,sleeping,10
long,ride,10
land,water,10
time,water,10
found,water,10
number,tree,10
house,number,10
board,captain,10
day,weather,10
cloudless,sky,10
cold,weather,10
boat,men,10
small,valley,10
alta,punta,10
passed,road,10
blood,indian,10
morning,night,10
island,mile,10
came,u,10
mile,walked,10
foot,river,10
covered,plain,10
lofty,mountain,10
last,weather,10
beautiful,scenery,10
leaving,since,10
new,zealand,10
