Topic,Rank,Word,Probability
0,1,water,0.0063
0,2,foot,0.0049
0,3,valley,0.0048
0,4,side,0.0044
0,5,tree,0.0044
0,6,country,0.0043
0,7,sea,0.0036
0,8,road,0.0034
0,9,plain,0.0034
0,10,found,0.0033
1,1,country,0.0063
1,2,part,0.0048
1,3,house,0.0048
1,4,time,0.0047
1,5,tree,0.0043
1,6,place,0.0043
1,7,whole,0.0041
1,8,island,0.004
1,9,found,0.0034
1,10,water,0.0033
2,1,horse,0.006
2,2,animal,0.0043
2,3,country,0.0034
2,4,time,0.0031
2,5,year,0.003
2,6,mine,0.003
2,7,quite,0.003
2,8,water,0.0029
2,9,good,0.0029
2,10,road,0.0028
3,1,mountain,0.005
3,2,plain,0.0048
3,3,water,0.0045
3,4,time,0.0045
3,5,valley,0.004
3,6,night,0.0039
3,7,country,0.0039
3,8,place,0.0037
3,9,part,0.0037
3,10,good,0.0036
4,1,indian,0.0104
4,2,horse,0.0058
4,3,country,0.0052
4,4,men,0.0051
4,5,u,0.0043
4,6,time,0.0043
4,7,man,0.0043
4,8,morning,0.0042
4,9,good,0.0039
4,10,mile,0.0038
5,1,captain,0.0066
5,2,u,0.0066
5,3,beagle,0.0065
5,4,ship,0.006
5,5,wind,0.0056
5,6,anchor,0.005
5,7,boat,0.0048
5,8,evening,0.0048
5,9,men,0.0045
5,10,board,0.0043
