Term,Score
day,0.9027944165474302
country,0.7031900351120434
much,0.6691219825879836
little,0.6658621732041291
great,0.6361214309766492
water,0.6355087538880332
time,0.5963816090580479
indian,0.578136822997077
many,0.5626595480260376
part,0.5346618188086127
place,0.5264148078462564
men,0.5170156786292468
house,0.5043535752533761
horse,0.4943221591361092
island,0.4880437406407197
large,0.4868419465846687
good,0.48541298483182743
man,0.48199810445952945
sea,0.4763567724282482
tree,0.474613001447182
like,0.46983881151393164
mile,0.45636264538668814
night,0.45169705382106967
found,0.44467981447958527
every,0.4384778900666743
long,0.43130273323453955
whole,0.4231194582842043
morning,0.4193758440980347
skip,0.41749559143668497
ship,0.4151601720484403
plain,0.40582400736280794
could,0.4057309873958119
quite,0.40189961363272125
foot,0.3979296018371565
first,0.3926947564510411
boat,0.3917107904794792
small,0.3875642894129392
town,0.38654683316515576
seen,0.3861076906914395
evening,0.3839994866460957
must,0.3833412703996467
year,0.382449745807671
coast,0.38140913408279337
road,0.3805296671598611
mountain,0.3771726580235244
side,0.37224107344531043
well,0.3717616084010085
valley,0.37116164196612467
however,0.3608319762233181
wind,0.36036953187498677
yet,0.3566332185915582
even,0.35016651957949235
land,0.34984629964688696
old,0.3495954115219768
three,0.34806288167807714
animal,0.33994326352679033
number,0.33903653141869217
hill,0.33803872023488374
party,0.33773869271627044
last,0.33528194355880175
saw,0.3347995545766441
distance,0.3266327558789838
see,0.31922053308891907
fine,0.31561212224229906
made,0.3130903191933455
several,0.31216168441599096
may,0.3103593278082497
captain,0.3075498782114943
high,0.3065377874343325
view,0.3058536511882965
nearly,0.3058342241493575
rock,0.30242911414948637
never,0.30193579461820047
weather,0.29939595061830715
beagle,0.2921242042655291
wood,0.29171593427628767
near,0.28672429932580235
ground,0.28572603790058787
present,0.2836139022168682
shore,0.2811691429570084
passed,0.27841460405320817
came,0.27758212472517835
st,0.27694054017814956
head,0.2751010276931388
took,0.2739809971335445
without,0.2709535947562045
beautiful,0.26950820030799033
river,0.26490213675025004
course,0.2611280073128318
inhabitant,0.2587195455416478
soon,0.25762800812885017
white,0.2573361275653793
bay,0.25717683152444765
nothing,0.2561007040655488
board,0.25546901115717907
make,0.25484319454705734
appearance,0.254734615496796
rather,0.2539303591158407
people,0.25096352244615056
england,0.2495613315401735
went,0.24741932426671662
form,0.2469433926466006
said,0.2462283616452799
line,0.24604945530373987
arrived,0.24447249845012997
english,0.24325428352722325
forest,0.2416056841467961
think,0.24020857284714783
far,0.23880705784413003
generally,0.23798507787370746
rain,0.2374280876815964
point,0.23469399834890586
thing,0.23307853484755356
anchor,0.23286216291848874
manner,0.2316707462164031
hour,0.23154045162435455
walk,0.23145772637392314
black,0.22965529884223218
south,0.22962217100397117
although,0.22862705873576952
left,0.22502972758389178
curious,0.22473043834128525
called,0.2243762430361193
away,0.22273350587385207
wild,0.22255255764092602
vessel,0.22069217321265458
greater,0.22045064941036213
another,0.2194306927992134
till,0.21909382275670036
round,0.2177705014434188
