Date,Place,Content,Sea/Land/Harbour(0/1/2),Polarity,Subjectivity,Serial
18311212,Devonport,"Boisterous weather, the ship rolled a good deal; & I actually felt rather uncomfortable: I look forward to sea-sickness with utter dismay, not so much as regards the misery of a fortnight or three weeks, as the being incapacitated for a much longer time from any active employment. — In middle of day walked to Corsan (Cawsand) bay & there enjoyed the sight of the sea lashing itself & foaming on the rocks. — There is no pleasure, equal to that which fine scenery & exercise creates. It is to this I look forward to with more enthusiasm than any other part of our voyage.
Dined with Sir Manley Dixon, a pleasant quiet party, or rather to speak more truly, I suspect very dull to every body but the Captain & myself, for the Beagle was the chief subject of conversation, & it is now the only one that at all interests me. — It is no easy matter at any time, but now a most painful one to make conversation at a regular party.
We have had a long & rough pull to the vessel, but I am now seated in my own corner, snug & am listening to the wind roaring through the rigging with same sort of feeling that I often have when sitting round a Christmas fire.
Eight bells have struck, or it is 12 oclock, so I will turn into my hammock.",2,0.081,0.516,1
18311213,Devonport,"An idle day; dined for the first time in Captains cabin & felt quite at home. Of all the luxuries the Captain has given me, none will be so essential as that of having my meals with him.
I am often afraid I shall be quite overwhelmed with the numbers of subjects which I ought to take into hand. It is difficult to mark out any plan & without method on ship-board I am sure little will be done. The principal objects are 1st collecting observing & reading in all branches of natural history that I possibly can manage. Observations in Meteorology — French & Spanish, Mathematics, & a little Classics, perhaps not more than Greek Testament on Sundays. I hope generally to have some one English book in hand for my amusement, exclusive of the above mentioned branches.
If I have not energy enough to make myself steadily industrious during the voyage, how great & uncommon an opportunity of improving myself shall I throw away.
May this never for one moment escape my mind, & then perhaps I may have the same opportunity of drilling my mind that I threw away whilst at Cambridge.",2,0.045,0.467,2
18311214,Devonport,"A beautiful day giving great hopes of a fair wind. Took my usual and delightful walk in the beautiful country around Mount Edgcombe.
Everything connected with dressing and sleeping have hitherto been my greatest drawbacks to comfort. But even these difficulties are wearing away. My hammock after endless alterations has been made flat and I have trained myself to a regular method in dressing and undressing.
Orders are issued for sailing tomorrow morning.",2,0.48,0.685,3
18311215,Devonport,"The wind continues in the old point SW, which independently of detaining us appears invariably to bring bad [weather] with it.
The ship is full of grumblers and growlers, and I with sea-sickness staring me in the face am as bad as the worst.
The time however passes away very pleasantly, but instead of working, the whole day is lost between arranging all my nick-nackiries and reading at a little of Basil Halls fragments.",2,-0.109,0.568,4
18311216,Devonport,"This day is come to its close much in same way as yesterday. I am now sitting in my own corner feeling most comfortably at home. This is the first time that I have not left the vessel during the whole day.
The wind with torrents of rain is sweeping down upon us in heavy gusts.",2,0.177,0.439,5
18311217,(A Cawsand Street),"Walked with Sullivan and King to the coast near the Ramhead (Rame Head) and there saw a wild stormy sea breaking on the rocks. We passed through a village of the name of Corsan (Cawsand) one of the most curiously built places I ever saw. None of the streets are for thirty yards in the same straight line, and all so narrow that a cart certainly could not pass up them. It is situated in a very pretty little bay, which shelters numerous fishing and smugling boats from the sea.
Our old enemy the SW Gale is whistling through the rigging: today it drove back a Brig which left Plymouth three weeks ago, so that we ought to be instead of being discontented, most thankful for remaining in our present snug anchorage.
The novelty of finding myself at home on board a ship is not as yet worn away, nor have I ceased to wonder at my extraordinary good fortune in obtaining what in the wildest castles in the air I never had even imagined. If it is desirable to see the world, what a rare and excellent opportunity this is.
It is necessary to have gone through the preparations for sea to be throughily aware what an arduous undertaking it is. It has fully explained to me the reasons so few people leave the beaten path of travellers.",2,0.149,0.508,6
18311218,(Whitsand Bay on a calm day),"Dined at 12 oclock with the Midshipmen, and then with Bynoe and Stokes walked to Whitson (Whitsand) bay: the sea here presented a most glorious and sublime appearance. For nearly quarter of a mile it was a confused mass of breakers and from the white covering of foam looked like so much snow. Each wave as it dashed against the rocks threw its spray high on the hill and wetted our faces. To perfect the scene a single man was watched from a rock to spy out any chance wreck.",2,0.186,0.444,7
18311219,Devonport,A fine calm day with a gentle breeze from the North. There is every probability of sailing tomorrow morning. The weighing of our anchor will be hailed with universal joy.,2,0.343,0.45,8
18311220,(Plymouth Sound),"The rain fell in torrents and the South W wind blew all the morning; but now the moon is shining bright on the sea, which looks so calm, that one would think it never would again be troubled by a storm. Nothing can be more beautiful than the view from our present anchorage, on such a clear night as this is: the Sound looks like a lake. May these not turn out false signs, for that our disappointment to be the more bitter. The sailors declare there is somebody on shore keeping a black cat under a tub, which it stands to reason must keep us in harbour.",2,0.113,0.555,9
18311221,(Drakes Island),"The morning was very calm and the sun shone red through the mist: every thing gave us hopes of a steady NE wind, and a prosperous voyage. But here we are yet to remain alternately praying to and abusing the SW gales. From weighing to again letting down our anchor everything was unfortunate.
We started at 11 oclock with a light breeze from NW and whilst tacking round Drakes Island, our ill luck first commenced. It was spring tide and at the time lowest ebb; this was forgotten, and we steered right upon a rock that lies off the corner. There was very little wind or swell on the sea so that, although the vessel stuck fast for about half an hour, she was not injured. Every maeneuvre was tried to get her off; the one that succeeded best was making every person on board run to different parts of the deck, by this means giving to the vessel a swinging motion. At last we got clear and sailed out of harbour not a jot the worse from our little accident. When we were on the open sea I soon became sick: at 4 oclock I went down to the Captains cabin and there slept till 8 oclock, after that I retreated to my hammock and enjoyed a most comfortable sleep till morning.
As soon as it was light Stokes and myself looked at a pocket compass, which we agreed was bewitched, for it pointed to NE instead of to where we were sailing W by S. Our doubts were cleared up by Wickham putting his head in and telling us we should be in Plymouth Sound in the course of an hour. During the middle watch the wind began to change its direction and at 4 oclock, when we were only 11 miles from the Lizard, it blew a gale from SW. Upon this the Captain wared the ship and we returned to our old home at the rate of eleven knots an hour.",2,0.06,0.501,10
